Ciudad,Bogota,Madrid,Munich,Londres,Amsterdam,Estambul,Nueva York,Tokio,Sao Paulo,Fortaleza,Paris,Roma,Rio de janeiro,Helsinki,Doha,Ciudad del cabo,Montreal,Toronto,Miami,Hangzhou,Beijing,Lima,Cancun,Buenos Aires,Hong Kong,Sidney,Manama,New Delhi,Zurich,Ciudad de mexico,Estocolmo
Bogota,0,771,0,918,0,0,479,0,583,0,899,0,672,0,0,0,607,549,252,0,0,202,267,589,0,0,0,0,0,324,0
Madrid,771,0,175,140,164,328,640,0,806,0,128,167,0,334,605,0,668,673,791,0,0,931,957,1117,0,0,0,0,146,868,303
Munich,0,175,0,91,81,169,658,1066,0,0,94,146,979,195,485,0,669,654,0,0,0,0,950,0,0,0,0,653,69,0,170
Londres,865,139,91,0,62,246,592,1119,880,0,62,156,874,204,611,1112,633,568,784,0,0,0,861,0,1100,0,576,659,102,900,160
Amsterdam,874,159,83,62,0,222,567,0,920,0,73,146,1056,185,579,1167,686,603,0,0,0,1121,933,1210,1120,0,0,710,102,926,150
Estambul,1077,319,174,246,222,0,854,1109,1095,0,218,175,0,290,322,1047,834,873,980,0,0,0,0,1126,1012,0,255,569,184,1157,293
Nueva York,483,613,682,591,567,852,0,1228,822,0,620,710,0,782,1242,1714,105,62,196,1382,0,659,279,918,1426,0,0,1223,643,406,705
Tokio,0,0,1090,1119,1192,1209,1258,0,0,0,1134,1202,0,1175,967,0,1320,1238,0,365,499,0,0,0,331,998,0,829,1192,1187,0
Sao Paulo,544,764,0,907,961,1226,822,0,0,267,897,918,66,0,1399,0,969,923,705,0,0,507,0,196,0,0,0,0,946,770,0
Fortaleza,0,0,0,0,0,0,0,0,267,0,1142,0,302,0,0,0,0,0,939,0,0,0,0,447,0,0,0,0,0,0,0
Paris,829,131,94,62,73,218,606,1100,883,1036,0,129,918,231,584,1175,572,618,827,1180,0,1033,920,1208,1092,0,567,681,91,919,201
Roma,0,167,144,156,146,159,726,0,0,0,129,0,0,276,477,0,709,744,882,0,0,0,0,0,0,1845,0,0,175,0,0
Rio de janeiro,0,0,960,0,1041,0,0,0,66,290,962,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0
Helsinki,0,323,195,202,185,309,0,0,0,0,229,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,247,0,67
Doha,0,626,492,602,587,322,1196,1066,1399,0,595,471,0,0,0,867,1128,0,1406,0,0,0,0,0,956,1397,0,274,534,0,471
Ciudad del cabo,0,0,0,1114,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montreal,0,0,628,521,652,0,105,0,972,0,570,691,0,0,1233,0,0,56,258,0,0,0,401,0,0,0,0,0,613,503,0
Toronto,541,700,696,558,603,0,62,1250,923,0,618,746,0,0,1244,0,56,0,230,0,0,0,336,0,0,0,0,1166,658,397,0
Miami,262,791,0,744,0,0,196,0,0,0,0,870,701,0,1411,1728,263,230,0,0,0,483,115,752,0,0,0,0,798,226,0
Hangzhou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,202,0,0,0,0,0,0
Beijing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0
Lima,202,934,0,0,1080,0,668,0,496,0,1034,0,385,0,0,0,0,0,483,0,0,0,303,322,0,0,0,0,0,332,0
Cancun,185,628,0,876,0,1186,283,0,0,0,0,0,0,0,0,0,335,253,115,0,0,303,0,0,0,0,0,0,0,117,0
Buenos Aires,458,799,0,0,1051,0,896,0,186,0,1132,1197,227,0,0,0,0,0,792,0,0,376,0,0,0,0,0,0,0,797,0
Hong Kong,0,0,0,1093,0,0,0,331,0,0,0,0,0,0,944,0,0,0,0,0,0,0,0,0,0,822,0,682,0,0,0
Sidney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,0,846,0,0,1141,0,0,0
Manama,0,0,0,617,0,339,0,0,0,0,577,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0
New Delhi,0,0,709,742,766,569,1223,769,0,0,768,0,0,786,274,0,0,1186,0,0,0,0,0,0,671,115,336,0,696,0,0
Zurich,0,146,69,102,109,184,654,0,3000,0,91,175,0,249,534,0,0,664,794,0,0,0,0,0,0,0,0,0,0,0,224
Ciudad de mexico,324,829,0,966,913,0,395,1189,754,0,925,0,0,0,0,0,516,418,226,0,0,532,141,797,0,0,0,0,0,0,0
Estocolmo,0,293,171,160,150,302,670,0,0,0,201,262,0,67,587,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0