Ciudad,Bogota,Madrid,Munich,Londres,Amsterdam,Estambul,Nueva York,Tokio,Sao Pablo,Fortaleza,Paris,Roma,Rio de janeiro,Helsinki,Doha,Ciudad del cabo,Montreal,Toronto,Miami,Hangzhou,Beijing,Lima,Cancun,Buenos Aires,Hong Kong,Sidney,Manama,New Delhi,Zurich,Ciudad de mexico,Estocolmo
Bogota,0,8020,0,8490,0,0,4007,0,4319,0,8631,0,4541,0,0,0,4541,4371,2435,0,0,1889,2293,4664,0,0,0,0,0,3173,0
Madrid,8020,0,1498,1261,1481,2736,5765,0,8384,0,1052,1365,0,2948,5331,0,5533,6036,7090,0,0,9509,7938,10048,0,0,0,0,1247,9062,2593
Munich,0,1484,0,920,668,1582,6485,9385,0,0,683,698,9595,1589,4297,0,6138,6626,0,0,0,0,8867,0,0,0,0,5916,241,0,1314
Londres,8490,1261,920,0,359,2500,5565,9574,9494,0,344,1436,9276,1823,5212,9671,5219,5709,7112,0,0,0,7956,0,9615,0,5088,6710,779,8926,1435
Amsterdam,8846,1481,668,359,0,2210,5859,0,9805,0,430,1298,9578,1501,4908,9686,5495,5979,0,0,0,10528,8273,11448,9267,0,0,6354,615,9215,1125
Estambul,10747,2736,1582,2500,2210,0,8065,8963,10581,0,2253,1371,0,2147,2716,8402,7706,8189,9608,0,0,0,0,12247,8020,0,2591,4548,1766,11424,2172
Nueva York,4009,5765,6485,5565,5859,8065,0,10846,7686,0,5834,6889,0,6615,10766,12563,532,555,1742,11984,0,5876,2490,8527,12945,0,0,11751,6322,3361,6317
Tokio,0,0,9385,9574,9302,8963,10846,0,0,0,9726,9869,0,7832,8265,0,10387,10340,0,1929,2112,0,0,0,2892,7817,0,5863,9593,11295,0
Sao Pablo,4323,8384,0,9494,9805,10581,7686,0,0,2369,9401,9476,357,0,11871,0,8148,8191,6584,0,0,3452,0,1678,0,0,0,0,9621,7431,0
Fortaleza,0,0,0,0,0,0,0,0,2369,0,7051,0,2190,0,0,0,0,0,5571,0,0,0,0,4001,0,0,0,0,0,0,0
Paris,8624,1052,683,344,430,2253,5834,9726,9401,7051,0,1107,9168,1908,4969,9342,5506,5999,7355,9274,0,10255,8195,11053,9615,0,4844,6582,488,9196,1543
Roma,0,1363,697,1436,1349,1423,7271,0,0,0,1114,0,0,2235,4073,0,6603,7084,8344,0,0,0,0,0,0,16322,0,0,772,0,0
Rio de janeiro,0,0,9621,0,9535,0,0,0,381,2350,9497,0,0,0,0,0,0,0,0,0,0,0,0,2222,0,0,0,0,0,0,0
Helsinki,0,2947,1577,1821,1522,2168,0,0,0,0,3106,3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5229,1781,0,396
Doha,0,5336,4303,7475,4925,2757,10787,8255,11859,0,5072,4040,0,0,0,7444,10424,0,12327,0,0,0,0,0,6234,13687,0,2551,4504,0,4619
Ciudad del cabo,0,0,0,1114,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montreal,0,0,6168,5223,5519,0,532,0,8149,0,5518,6602,0,0,10424,0,0,507,2260,0,0,0,3081,0,0,0,0,0,5590,3716,0
Toronto,4361,6037,6660,5714,6006,0,580,10323,8166,0,6175,7104,0,0,10861,0,503,0,1989,0,0,0,2606,0,0,0,0,10775,6509,3249,0
Miami,2435,7090,0,7112,0,9608,1742,0,6584,5571,7355,8344,0,0,12327,0,2260,1989,0,0,0,4219,850,7139,0,0,0,0,7839,2065,0
Hangzhou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466,0,0,0,1072,0,0,0,0,0,0
Beijing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,0,0
Lima,1888,9508,0,0,10531,0,5866,0,3473,0,10253,0,3787,0,0,0,0,0,4219,0,0,0,3374,3156,0,0,0,0,0,4255,0
Cancun,2297,7958,0,7988,0,10432,2506,0,0,0,0,0,0,0,0,0,2965,2609,850,0,0,3850,0,0,0,0,0,0,0,1284,0
Buenos Aires,4674,10055,0,0,11446,0,8579,0,1724,0,11051,11127,1967,0,0,0,0,0,7139,0,0,3138,0,0,0,0,0,0,0,7384,0
Hong Kong,0,0,0,9613,0,0,0,2900,0,0,0,0,0,0,6324,0,0,0,0,0,0,0,0,0,0,7374,0,3752,0,0,0
Sidney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13687,0,0,0,0,0,0,0,0,0,7374,0,0,10428,0,0,0
Manama,0,0,0,5093,0,2581,0,0,0,0,4828,3893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644,0,0,0
New Delhi,0,0,5910,6710,6363,4565,11763,5834,0,0,6564,0,0,5229,2551,0,0,11629,0,0,0,0,0,0,3750,10428,2644,0,6159,0,0
Zurich,0,1247,242,780,615,1739,6329,0,9587,0,489,684,0,1781,4504,0,0,6508,7839,0,0,0,0,0,0,0,0,0,0,0,1469
Ciudad de mexico,3159,9080,0,8918,9222,0,3386,11319,7427,0,11162,0,0,0,0,0,3712,3249,2065,0,0,4255,1285,7384,0,0,0,0,0,0,0
Estocolmo,0,2583,1319,1455,1153,2177,6309,0,0,0,1544,1980,0,396,4619,0,0,0,0,0,0,0,0,0,0,0,0,0,1469,0,0